Size,MergeSortTime,InsertionSortTime
50,2.2e-05,2e-06
100,4.7e-05,7e-06
150,7.2e-05,1.5e-05
200,9.7e-05,2.2e-05
250,0.000123,3.7e-05
300,0.000152,5.5e-05
350,0.00018,7.6e-05
400,0.00021,9e-05
450,0.00023,0.000113
500,0.00025,0.000144
550,0.000277,0.000171
600,0.000308,0.000248
650,0.00034,0.000242
700,0.000366,0.000269
750,0.000378,0.000297
800,0.000419,0.000348
850,0.00068,0.000643
900,0.000728,0.000692
950,0.000765,0.000743
1000,0.00083,0.000873
1050,0.000852,0.000956
1100,0.000926,0.000973
1150,0.000963,0.001099
1200,0.000779,0.00084
1250,0.000747,0.001041
1300,0.000975,0.001159
1350,0.00093,0.001265
1400,0.000972,0.001374
1450,0.001335,0.001549
1500,0.000952,0.001406
1550,0.000968,0.001541
1600,0.001005,0.001576
1650,0.000987,0.001654
1700,0.001035,0.001675
1750,0.001058,0.001814
1800,0.001019,0.001818
1850,0.001109,0.002021
1900,0.001067,0.002105
1950,0.001252,0.002313
2000,0.001209,0.002459
2050,0.001219,0.002497
2100,0.001395,0.002486
2150,0.001201,0.00253
2200,0.001244,0.002623
2250,0.001252,0.002756
2300,0.001268,0.002846
2350,0.001257,0.002885
2400,0.001478,0.003226
2450,0.001296,0.003077
2500,0.001338,0.003206
2550,0.001439,0.003359
2600,0.001397,0.003557
2650,0.001399,0.003857
2700,0.001484,0.003734
2750,0.001511,0.003847
2800,0.001572,0.003968
2850,0.001545,0.004171
2900,0.001656,0.004406
2950,0.001577,0.004494
3000,0.001633,0.004918
3050,0.001633,0.004988
3100,0.001929,0.005354
3150,0.00169,0.005244
3200,0.002242,0.00546
3250,0.001818,0.005987
3300,0.00186,0.005745
3350,0.001859,0.006277
3400,0.00187,0.006292
3450,0.002171,0.006385
3500,0.001914,0.00681
3550,0.001916,0.006671
3600,0.001999,0.006696
3650,0.00202,0.007012
3700,0.002054,0.007229
3750,0.002033,0.007211
3800,0.002226,0.007473
3850,0.002085,0.007878
3900,0.002101,0.007958
3950,0.00213,0.00813
4000,0.002452,0.008219
4050,0.002277,0.008451
4100,0.002212,0.008686
4150,0.002276,0.00901
4200,0.002288,0.009264
4250,0.002372,0.00948
4300,0.002352,0.00962
4350,0.002382,0.009864
4400,0.002545,0.010265
4450,0.00247,0.010193
4500,0.002536,0.010586
4550,0.002644,0.011422
4600,0.002678,0.011381
4650,0.002575,0.011751
4700,0.002859,0.012402
4750,0.002793,0.012761
4800,0.00271,0.012716
4850,0.00302,0.012954
4900,0.002901,0.013498
4950,0.002958,0.014263
5000,0.002943,0.014026
5050,0.003215,0.01434
5100,0.003076,0.014824
5150,0.003291,0.015087
5200,0.003032,0.01509
5250,0.003074,0.015626
5300,0.003141,0.014975
5350,0.003093,0.015416
5400,0.003298,0.014964
5450,0.003013,0.015426
5500,0.003173,0.015787
