Size,MergeSortTime,InsertionSortTime
0,0,0
50,5.5e-05,6e-06
100,0.000107,2.6e-05
150,0.000165,5.5e-05
200,0.00023,9.8e-05
250,0.000323,0.000146
300,0.00035,0.000216
350,0.000411,0.000278
400,0.000493,0.000372
450,0.00075,0.00062
500,0.00084,0.000558
550,0.000582,0.000572
600,0.00062,0.000722
650,0.00069,0.000826
700,0.000801,0.000988
750,0.000776,0.001083
800,0.000864,0.001466
850,0.000854,0.001188
900,0.001005,0.001417
950,0.00101,0.001601
1000,0.000956,0.001628
1050,0.000986,0.00159
1100,0.001116,0.002305
1150,0.00111,0.001864
1200,0.000932,0.001892
1250,0.000938,0.002071
1300,0.001003,0.002719
1350,0.001048,0.002219
1400,0.001003,0.002298
1450,0.000908,0.002341
1500,0.001057,0.002911
1550,0.000906,0.002569
1600,0.000971,0.002601
1650,0.000982,0.002815
1700,0.000998,0.002776
1750,0.001009,0.00308
1800,0.001001,0.003219
1850,0.00111,0.003382
1900,0.001052,0.003728
1950,0.001079,0.003932
2000,0.001163,0.003811
2050,0.00115,0.003852
2100,0.001294,0.004411
2150,0.00114,0.004396
2200,0.001185,0.004575
2250,0.001254,0.004593
2300,0.001256,0.005032
2350,0.00128,0.004941
2400,0.00131,0.005694
2450,0.001287,0.00555
2500,0.001345,0.005706
2550,0.00135,0.005859
2600,0.001364,0.006164
2650,0.001428,0.006147
2700,0.001454,0.006488
2750,0.001461,0.007063
2800,0.00149,0.006928
2850,0.001542,0.007229
2900,0.001574,0.007654
2950,0.001581,0.007728
3000,0.001582,0.008486
3050,0.0016,0.008352
3100,0.001636,0.008573
3150,0.001674,0.008723
3200,0.00181,0.00914
3250,0.001766,0.009588
3300,0.001779,0.009674
3350,0.001781,0.010158
3400,0.001842,0.010357
3450,0.001883,0.010779
3500,0.001892,0.011115
3550,0.001897,0.011286
3600,0.001914,0.011862
3650,0.002014,0.011983
3700,0.002023,0.012368
3750,0.002003,0.012528
3800,0.002065,0.013025
3850,0.002121,0.013444
3900,0.002194,0.013802
3950,0.002199,0.014103
4000,0.002224,0.014776
4050,0.002231,0.014973
4100,0.002467,0.015702
4150,0.002272,0.016024
4200,0.002386,0.017368
4250,0.002595,0.017185
4300,0.002473,0.019328
4350,0.002475,0.018301
4400,0.002787,0.018386
4450,0.00245,0.018374
4500,0.002685,0.018835
4550,0.0026,0.019809
4600,0.002759,0.020212
4650,0.002954,0.020518
4700,0.003209,0.020899
4750,0.002801,0.021343
4800,0.002687,0.02131
4850,0.002721,0.021493
4900,0.002684,0.021525
4950,0.002859,0.022585
5000,0.00286,0.0219
5050,0.002842,0.022747
5100,0.00285,0.023305
5150,0.002818,0.023684
5200,0.002902,0.024343
5250,0.002974,0.024747
5300,0.003046,0.024952
5350,0.003123,0.025626
5400,0.002966,0.026398
5450,0.002992,0.026769
5500,0.003038,0.026787
5550,0.003192,0.027416
5600,0.003078,0.027871
5650,0.003112,0.028807
5700,0.003276,0.029177
5750,0.003161,0.02981
5800,0.003286,0.030235
5850,0.003261,0.030628
5900,0.003358,0.031235
5950,0.003274,0.03206
6000,0.003289,0.032361
6050,0.003361,0.032673
6100,0.003402,0.032889
6150,0.003368,0.033208
6200,0.003411,0.034501
6250,0.003454,0.034587
6300,0.003556,0.035254
6350,0.003585,0.035786
6400,0.003635,0.036217
6450,0.003646,0.037388
6500,0.00368,0.037805
6550,0.003728,0.038307
6600,0.00369,0.038656
6650,0.003677,0.039901
6700,0.003773,0.039757
6750,0.003848,0.040375
6800,0.003757,0.04117
6850,0.003893,0.04124
